MinNormIw,Bound,EpsThisIter,VarVanillaIw,VanillaAvgRet,AvgEpLen,MaxVanillaIw,J,ESSRenyi,BatchSize,VarJ,MinVanillaIw,AvgRet,MaxNormIw,eRenyi2,VarNormIw,VarDiscRet,IterType,Delta,AvgNormIw,VarRet,AvgVanillaIw,ESSClassic,AvgDiscRet
0.0033333334,-8.058992,100,,-7.728715680963306,200.0,1.0,-7.6124883,500.0,500,6.794866,1.0,-7.728715680963306,0.0033333334,1.0,5.4391416e-20,50.11255645699351,2,0.9,0.0033333336,50.11255645699351,1.0,299.999969473632,-7.728715680963306
0.0025,-7.9074416,100,,-7.2455708962154555,200.0,1.0,-7.5207577,500.0,500,6.7823367,1.0,-7.2455708962154555,0.0025,1.0,5.434597e-20,45.8472896302625,2,0.9,0.0024999997,45.8472896302625,1.0,400.0,-7.2455708962154555
0.00019608803,-7.9246335,100,0.23102176,-8.16465913253265,200.0,1.3261626,-7.560204,451.0804119999342,500,7.4259787,0.10707362,-8.16465913253265,0.0024286525,1.1084498,7.7480075e-07,51.00062418708942,1,0.9,0.002,51.00062418708942,1.0920974,419.0015950747085,-8.16465913253265
0.01,-7.586892,100,,-6.875607296215521,200.0,1.0,-6.8756075,500.0,500,6.3085003,1.0,-6.875607296215521,0.01,1.0,3.5044917e-18,40.19916813549625,2,0.9,0.009999998,40.19916813549625,1.0,100.0,-6.875607296215521
0.005,-7.8637857,100,,-7.755649577429863,200.0,1.0,-7.3156285,500.0,500,6.5607963,1.0,-7.755649577429863,0.005,1.0,2.179301e-19,46.36733720989563,2,0.9,0.0049999994,46.36733720989563,1.0,200.00000010221265,-7.755649577429863
0.0033333334,-8.159039,100,,-8.503153373783706,200.0,1.0,-7.7114697,500.0,500,6.6816144,1.0,-8.503153373783706,0.0033333334,1.0,5.4391416e-20,47.37745398316099,2,0.9,0.0033333336,47.37745398316099,1.0,299.999969473632,-8.503153373783706
0.0025,-8.000667,100,,-7.317835374688265,200.0,1.0,-7.613061,500.0,500,6.820217,1.0,-7.317835374688265,0.0025,1.0,5.434597e-20,52.53873796284169,2,0.9,0.0024999997,52.53873796284169,1.0,400.0,-7.317835374688265
0.0015098253,-7.75762,100,0.0062506236,-6.603595968749061,200.0,1.0259153,-7.4107184,499.3766578454614,500,6.830675,0.75527096,-6.603595968749061,0.002050857,1.0012482,2.497876e-08,47.67131222745348,1,0.9,0.0020000006,47.67131222745348,1.0004746,496.9032083116639,-6.603595968749061
0.01,-8.551576,100,,-7.80793721842833,200.0,1.0,-7.8079376,500.0,500,6.9665747,1.0,-7.80793721842833,0.01,1.0,3.5044917e-18,49.023399017135134,2,0.9,0.009999998,49.023399017135134,1.0,100.0,-7.80793721842833
0.005,-8.84299,100,,-8.781293578767244,200.0,1.0,-8.294615,500.0,500,7.3174906,1.0,-8.781293578767244,0.005,1.0,2.179301e-19,58.6711725980741,2,0.9,0.0049999994,58.6711725980741,1.0,200.00000010221265,-8.781293578767244
